deliveryDate,deliveryHour,deliveryInterval,settlementPoint,settlementPointType,settlementPointPrice,DSTFlag
2026-01-01,8,1,HB_NORTH,HU,23.89,False
2026-01-01,8,2,HB_NORTH,HU,24.3,False
2026-01-01,8,3,HB_NORTH,HU,23.61,False
2026-01-01,8,4,HB_NORTH,HU,21.53,False
2026-01-01,9,1,HB_NORTH,HU,21.31,False
2026-01-01,9,2,HB_NORTH,HU,17.67,False
2026-01-01,9,3,HB_NORTH,HU,17.32,False
2026-01-01,9,4,HB_NORTH,HU,15.0,False
2026-01-01,10,1,HB_NORTH,HU,14.48,False
2026-01-01,10,2,HB_NORTH,HU,14.26,False
2026-01-01,10,3,HB_NORTH,HU,15.93,False
2026-01-01,10,4,HB_NORTH,HU,19.41,False
2026-01-01,11,1,HB_NORTH,HU,20.29,False
2026-01-01,11,2,HB_NORTH,HU,20.5,False
2026-01-01,11,3,HB_NORTH,HU,20.29,False
2026-01-01,11,4,HB_NORTH,HU,27.91,False
2026-01-01,12,1,HB_NORTH,HU,22.81,False
2026-01-01,12,2,HB_NORTH,HU,20.73,False
2026-01-01,12,3,HB_NORTH,HU,22.51,False
2026-01-01,12,4,HB_NORTH,HU,21.76,False
2026-01-01,13,1,HB_NORTH,HU,19.09,False
2026-01-01,13,2,HB_NORTH,HU,17.12,False
2026-01-01,13,3,HB_NORTH,HU,16.11,False
2026-01-01,13,4,HB_NORTH,HU,15.79,False
2026-01-01,14,1,HB_NORTH,HU,15.64,False
2026-01-01,14,2,HB_NORTH,HU,14.96,False
2026-01-01,14,3,HB_NORTH,HU,14.77,False
2026-01-01,14,4,HB_NORTH,HU,14.1,False
2026-01-01,15,1,HB_NORTH,HU,15.56,False
2026-01-01,15,2,HB_NORTH,HU,15.06,False
2026-01-01,15,3,HB_NORTH,HU,14.73,False
2026-01-01,15,4,HB_NORTH,HU,14.59,False
2026-01-01,16,1,HB_NORTH,HU,14.34,False
2026-01-01,16,2,HB_NORTH,HU,14.52,False
2026-01-01,16,3,HB_NORTH,HU,15.58,False
2026-01-01,16,4,HB_NORTH,HU,15.63,False
2026-01-01,17,1,HB_NORTH,HU,15.97,False
2026-01-01,17,2,HB_NORTH,HU,16.87,False
2026-01-01,17,3,HB_NORTH,HU,20.68,False
2026-01-01,17,4,HB_NORTH,HU,21.66,False
2026-01-01,18,1,HB_NORTH,HU,20.45,False
2026-01-01,18,2,HB_NORTH,HU,22.16,False
2026-01-01,18,3,HB_NORTH,HU,23.38,False
2026-01-01,18,4,HB_NORTH,HU,22.33,False
2026-01-01,19,1,HB_NORTH,HU,21.06,False
2026-01-01,19,2,HB_NORTH,HU,20.67,False
