,V_i,D_i,spread_p90,spread_p95,spread_mean,cheap_freq_lt0,spike_freq_gt500,spike_runlen_gt500,spike_freq_gt1000,spike_runlen_gt1000,basis_abs_p95,basis_abs_p99,basis_sign_flip_rate,basis_extreme_avg_runlen
SANDLAKE_RN,10.926672688049244,0.0,54.336583333333344,59.28870833333333,34.361041666666665,0.1076388888888889,0.0,0.0,0.0,0.0,22.339000000000002,36.25539999999996,0.028985507246376812,5.8
SIL_SILAS_10,-4.7461600410125255,0.0,29.210833333333333,29.368333333333336,17.945625,0.09375,0.0,0.0,0.0,0.0,18.638499999999997,33.6313,0.018867924528301886,5.8
SOLARA_UNIT1,4.5829418129648785,0.0,45.80758333333334,50.519208333333324,27.159583333333334,0.14930555555555555,0.0,0.0,0.0,0.0,17.080499999999997,21.497899999999998,0.029411764705882353,7.25
SRWE1_UNIT1,4.635670179153967,0.0,46.826416666666674,51.78654166666666,27.131458333333335,0.1076388888888889,0.0,0.0,0.0,0.0,14.78899999999999,22.12399999999999,0.02912621359223301,5.8
STAM_SLR_ALL,-1.6402661969582089,0.0,36.66358333333333,38.44845833333332,21.161875,0.10416666666666667,0.0,0.0,0.0,0.0,6.661999999999996,8.009999999999998,0.0106951871657754,9.666666666666666
STP_STP_G2,-6.795791216556357,0.35098958333333385,25.50708333333333,25.75145833333333,15.886666666666667,0.10416666666666667,0.0,0.0,0.0,0.0,12.525999999999991,21.256599999999995,0.00975609756097561,5.8
SWTWN4_WND45,4.493154473780473,0.0,46.05541666666667,50.832291666666656,27.278958333333335,0.1076388888888889,0.0,0.0,0.0,0.0,15.705499999999999,19.930399999999988,0.04390243902439024,9.666666666666666
SYBR_SLR_RN,-3.870157341317677,0.0,30.99841666666667,32.46004166666666,18.673541666666665,0.12152777777777778,0.0,0.0,0.0,0.0,13.605499999999992,19.6351,0.039603960396039604,7.25
S_HILLS_RN,4.292487927012855,0.0,42.11983333333334,44.89158333333333,27.183958333333337,0.23958333333333334,0.0,0.0,0.0,0.0,22.737999999999992,27.6465,0.009852216748768473,5.8
TGW_T1_T2,-3.353876118999977,0.0,31.391583333333333,31.69995833333333,19.108333333333334,0.1527777777777778,0.0,0.0,0.0,0.0,20.741499999999984,33.68390000000001,0.018018018018018018,4.833333333333333
TOPAZ_ALL,-6.253058402108904,0.0,26.593666666666667,27.097666666666665,16.407291666666666,0.10416666666666667,0.0,0.0,0.0,0.0,10.7865,16.714499999999994,0.00980392156862745,5.8
TRINITY_ALL,2.9545479083908988,0.0,41.107083333333335,44.49520833333332,25.730416666666667,0.21875,0.0,0.0,0.0,0.0,19.545499999999993,23.4352,0.009950248756218905,7.25
TRUENO_ALL,-4.723410190494892,0.0,29.24375,29.378124999999997,17.968958333333333,0.09375,0.0,0.0,0.0,0.0,18.702499999999997,33.6426,0.018867924528301886,5.8
